request_id,pu_osmid,do_osmid,req_time,pu_taz,do_taz,pu_lon,pu_lat,do_lon,do_lat,accept_time_art,pu_time_art,do_time_art,trip_fare,tip,Unnamed: 14,earliest_pu_time,earliest_travel_time,earliest_arrival_time,remaining_time,deadline,travel_distance,num_passengers
11,65335023,1711296909,25219,164,133,-122.458241,37.708999,-122.4516875,37.7283533,37,316,759,9.85,0,19,25219,185.2063307,25404.20633,583.01583,25802.01583,2813.527,1
12,65282506,295083423,25220,19,105,-122.4054471,37.7748326,-122.4245672,37.7691224,32,213,750,8.94,0,20,25220,145.2353511,25365.23535,483.08838,25703.08838,2835.622,2
13,65290178,54891501,25221,17,110,-122.3877083,37.7870796,-122.3862824,37.7690052,11,221,460,8.88,0,21,25221,198.7262008,25419.7262,616.8155,25837.8155,2522.098,2
14,65319714,65294602,25222,145,108,-122.3768574,37.7402023,-122.4029274,37.768652,10,151,1495,17.06,0,22,25222,336.5835636,25558.58356,961.45891,26183.45891,4867.047,3
15,4044911147,65303914,25223,173,107,-122.4732856,37.7544316,-122.4133836,37.7680266,250,341,1315,13.99,0,23,25223,625.132733,25848.13273,1682.83183,26905.83183,8135.853,1
16,65306118,65344044,25227,134,52,-122.4323462,37.7292836,-122.4713283,37.8083697,5,86,1509,14.98,1,27,25227,981.1096226,26208.10962,2572.77406,27799.77406,14009.523,1
17,258965841,725284754,25227,41,43,-122.4091081,37.8081143,-122.4374775,37.806418,5,98,500,10.99,0,27,25227,274.8149801,25501.81498,807.03745,26034.03745,2989.193,1
18,65295731,65295411,25228,71,70,-122.4524963,37.7901972,-122.4567129,37.7860043,25,126,940,13.36,0,28,25228,84.27937912,25312.27938,330.69845,25558.69845,841.392,1
19,725284754,65292759,25230,43,45,-122.4374775,37.806418,-122.4318427,37.7956473,13,149,420,12.03,0,30,25230,163.4188177,25393.41882,528.54704,25758.54704,1558.677,1
20,764844610,65306901,25231,126,149,-122.4234186,37.7322683,-122.3889239,37.7161528,12,263,777,5.49,0,31,25231,343.4311423,25574.43114,978.57786,26209.57786,5912.328,1
21,448034152,65319714,25231,65,145,-122.4656398,37.784736,-122.3768574,37.7402023,32,238,1184,13.85,0,31,25231,819.0058288,26050.00583,2167.51457,27398.51457,12404.595,2
22,65488579,65373321,25233,205,41,-122.4420266,37.7080882,-122.4056307,37.8066897,31,329,2728,7.4,0,33,25233,841.7976914,26074.79769,2224.49423,27457.49423,15738.079,1
23,65344044,65328405,25233,52,113,-122.4713283,37.8083697,-122.4025654,37.7545227,10,44,679,14.84,1,33,25233,910.3193938,26143.31939,2395.79848,27628.79848,13750.89,3
24,65336019,65321235,25233,134,184,-122.4276309,37.7330045,-122.4935067,37.7516222,10,164,1341,24.65,3,33,25233,633.6251238,25866.62512,1704.06281,26937.06281,9004.302,1
25,65328351,276546820,25233,47,78,-122.4327541,37.7918056,-122.4239348,37.7815469,10,321,967,12.09,1,33,25233,157.8427128,25390.84271,514.60678,25747.60678,1827.459,1
26,370813013,65373321,25233,190,41,-122.4865842,37.7084958,-122.4056307,37.8066897,131,509,3392,10.61,0,33,25233,920.2893561,26153.28936,2420.72339,27653.72339,18854.479,2
27,3741990611,65305089,25237,52,139,-122.4576915,37.8037726,-122.4020057,37.7393221,6,105,961,20.12,0,37,25237,815.9209827,26052.92098,2159.80246,27396.80246,11899.257,3
28,65344044,65369164,25237,52,83,-122.4713283,37.8083697,-122.4370934,37.7658805,6,108,1048,12.99,0,37,25237,616.4427387,25853.44274,1661.10685,26898.10685,8385.2,2
29,65314622,65293407,25238,52,52,-122.45216,37.795262,-122.4483833,37.804996,34,174,968,13.03,0,38,25238,177.7212721,25415.72127,564.30318,25802.30318,1698.903,2
30,65283647,4008988541,25239,111,51,-122.3925696,37.7606346,-122.4440017,37.8055868,14,157,1406,4.35,0,39,25239,724.52068,25963.52068,1931.3017,27170.3017,10289.391,1
31,65323658,65318156,25239,139,113,-122.399504,37.736964,-122.398341,37.751055,4,97,792,11.15,0,39,25239,207.7197627,25446.71976,639.29941,25878.29941,2477.665,3
32,65442317,65296837,25240,204,44,-122.4623261,37.7080078,-122.4252015,37.8041423,603,914,2650,29.25,5,40,25240,823.5318366,26063.53184,2178.82959,27418.82959,15036.327,1
33,65345303,434685829,25241,43,41,-122.4381617,37.8049375,-122.4189847,37.8109611,11,152,1228,15.49,0,41,25241,295.3140915,25536.31409,858.28523,26099.28523,3030.394,2
34,1735998439,2702192463,25241,132,142,-122.4557534,37.7313353,-122.3781135,37.7409724,23,458,1519,7.67,0,41,25241,440.0753103,25681.07531,1220.18828,26461.18828,8461.818,2
35,65308498,725284753,25242,67,43,-122.4598757,37.7792995,-122.4398794,37.806112,21,248,1374,6.9,0,42,25242,424.4409431,25666.44094,1181.10236,26423.10236,4833.111,1
36,434685829,767857266,25244,41,154,-122.4189847,37.8109611,-122.4073789,37.7082481,70,351,1534,11.63,0,44,25244,843.4320172,26087.43202,2228.58004,27472.58004,13680.222,3
37,65349513,65329643,25245,126,104,-122.4169534,37.7328527,-122.4272471,37.7638065,3,125,1616,23.79,0,45,25245,412.3058521,25657.30585,1150.76463,26395.76463,4371.27,1
38,4166290816,65343300,25245,66,166,-122.4596528,37.7882881,-122.4571742,37.72003,7,228,569,10.06,0,45,25245,821.7492869,26066.74929,2174.37322,27419.37322,10412.048,1
39,258289605,65290178,25246,190,17,-122.5040435,37.725856,-122.3877083,37.7870796,7,473,3335,8.48,0,46,25246,946.0224106,26192.02241,2485.05603,27731.05603,17258.552,1
40,725284181,65279912,25249,51,147,-122.4473096,37.8051652,-122.382126,37.728051,3,127,907,19.51,0,49,25249,913.8251422,26162.82514,2404.56286,27653.56286,12936.338,3
41,4019294259,65348209,25249,72,146,-122.4404641,37.788089,-122.373081,37.727143,14,237,921,6.14,0,49,25249,728.3898762,25977.38988,1940.97469,27189.97469,11664.737,2
42,65335166,65319714,25249,123,145,-122.421705,37.7464155,-122.3768574,37.7402023,54,325,1481,5.79,0,49,25249,368.1596832,25617.15968,1040.39921,26289.39921,4892.087,3
43,65294308,4180837706,25250,97,41,-122.4250116,37.7494291,-122.4093899,37.8081512,53,464,1578,6.14,0,50,25250,690.4061839,25940.40618,1846.01546,27096.01546,9863.658,2
44,65317782,65293472,25251,116,112,-122.4128321,37.7622297,-122.3934993,37.7614777,12,88,814,10.08,0,51,25251,242.2099792,25493.20998,725.52495,25976.52495,2617.046,2
45,65316577,65310197,25251,123,115,-122.4203785,37.7409546,-122.4054775,37.764606,42,641,2264,8.29,1,51,25251,296.955945,25547.95595,862.38986,26113.38986,4487.572,1
46,65318054,298938893,25253,103,142,-122.4280747,37.7580933,-122.3885683,37.7480699,110,236,1824,5.56,0,53,25253,412.0213876,25665.02139,1150.05347,26403.05347,4784.562,1
47,65345273,65322322,25253,34,99,-122.4172342,37.7984827,-122.4215958,37.7520551,20,371,1149,3.65,0,53,25253,528.6960692,25781.69607,1441.74017,26694.74017,5846.454,3
48,65333347,65293566,25255,41,116,-122.407305,37.8074586,-122.413773,37.7605704,8,131,327,7.72,0,55,25255,543.4316936,25798.43169,1478.57923,26733.57923,6561.276,1
49,65328196,65314180,25256,80,75,-122.4293832,37.7751213,-122.4232328,37.7864141,116,420,1169,6.12,0,56,25256,157.1658941,25413.16589,512.91474,25768.91474,1876.301,1
50,65354898,65317703,25257,54,16,-122.5106851,37.7819076,-122.3884059,37.7896449,7,569,2861,8.02,0,57,25257,950.8710755,26207.87108,2497.17769,27754.17769,11728.845,1
51,65296094,4008988553,25258,183,43,-122.4955167,37.7496663,-122.4396139,37.8010245,106,482,1763,6.36,0,58,25258,691.3837278,25949.38373,1848.45932,27106.45932,11156.192,1
52,65284661,276549441,25258,133,41,-122.446572,37.7249815,-122.4036084,37.8054504,5,249,1234,16.15,0,58,25258,632.8149929,25890.81499,1702.03748,26960.03748,13173.119,1
53,65301602,65333957,25258,51,23,-122.445096,37.8025651,-122.3975508,37.7993155,105,471,1639,6.14,0,58,25258,397.1151562,25655.11516,1112.78789,26370.78789,5129.74,1
54,65373321,65362651,25259,41,98,-122.4056307,37.8066897,-122.432177,37.754628,13,57,675,12.18,1,59,25259,655.3182895,25914.31829,1758.29572,27017.29572,7348.265,3
55,65329359,65292804,25260,191,44,-122.4856808,37.7080595,-122.4333436,37.8030638,122,365,2805,14.67,0,60,25260,1025.925048,26285.92505,2684.81262,27944.81262,18510.766,1
56,65307248,258965841,25260,35,41,-122.4153058,37.7972947,-122.4091081,37.8081143,13,98,664,15.62,0,60,25260,197.9491991,25457.9492,614.873,25874.873,1828.077,1
57,65319714,65373502,25261,145,23,-122.3768574,37.7402023,-122.401811,37.8040707,12,458,954,5.39,0,61,25261,549.4880302,25810.48803,1493.72008,26754.72008,8749.731,1
58,276546820,65321125,25263,78,40,-122.4239348,37.7815469,-122.420781,37.8051802,9,435,1017,20.49,0,63,25263,309.1686058,25572.16861,892.92151,26155.92151,3533.895,1
59,65307150,767857266,25265,57,154,-122.493135,37.7865982,-122.4073789,37.7082481,8,189,1120,16.49,0,65,25265,1048.675843,26313.67584,2741.68961,28006.68961,17369.992,1
60,65319806,725284754,25267,173,43,-122.4728893,37.7487923,-122.4374775,37.806418,5,166,1430,16.6,0,67,25267,662.0203022,25929.0203,1775.05076,27042.05076,9854.518,1
61,65305514,3719575845,25272,97,15,-122.43164,37.749028,-122.390971,37.7925459,10,209,1497,21.5,0,72,25272,568.2668622,25840.26686,1540.66716,26812.66716,8557.577,1
62,65337504,65361437,25273,135,116,-122.4308404,37.7227978,-122.4158016,37.7588398,9,212,887,12.49,0,73,25273,439.7898787,25712.78988,1219.4747,26492.4747,5359.811,2
63,65348278,65322004,25273,49,142,-122.4363969,37.7931462,-122.3827438,37.7511589,30,497,1769,5.2,0,73,25273,633.1113773,25906.11138,1702.77844,26975.77844,9210.189,3
64,65319030,65354898,25274,73,54,-122.4287315,37.7885845,-122.5106851,37.7819076,8,105,1380,19.88,0,74,25274,640.3916409,25914.39164,1720.9791,26994.9791,7831.997,1
65,65307526,65333957,25274,149,23,-122.3985871,37.7129695,-122.3975508,37.7993155,98,421,1899,9.25,0,74,25274,562.793386,25836.79339,1526.98347,26800.98347,10963.815,2
66,2548141871,434685829,25275,19,41,-122.4070446,37.7724889,-122.4189847,37.8109611,7,113,871,20.29,0,75,25275,450.316147,25725.31615,1245.79037,26520.79037,5777.343,1
67,3718987342,2702192463,25279,52,142,-122.4765197,37.8081054,-122.3781135,37.7409724,14,103,952,17.24,3,79,25279,944.7597276,26223.75973,2481.89932,27760.89932,14784.764,1
68,65337149,65306087,25280,146,28,-122.370213,37.724862,-122.4119322,37.7926501,16,506,2063,7.45,0,80,25280,762.8109476,26042.81095,2027.02737,27307.02737,9807.506,1
69,279669355,65373502,25281,121,23,-122.4061131,37.7451368,-122.401811,37.8040707,11,124,972,13.67,0,81,25281,543.5007096,25824.50071,1478.75177,26759.75177,8349.362,1
70,65333957,65322249,25281,23,111,-122.3975508,37.7993155,-122.3898457,37.7540029,11,121,671,9.7,0,81,25281,403.1663725,25684.16637,1127.91593,26408.91593,6421.392,2
71,65283647,370813013,25283,111,190,-122.3925696,37.7606346,-122.4865842,37.7084958,110,399,1432,8.69,0,83,25283,528.5050953,25811.5051,1441.26274,26724.26274,12505.969,2
72,65296623,65333347,25283,57,41,-122.4895167,37.7881406,-122.407305,37.8074586,30,153,1251,20.19,1,83,25283,732.6314645,26015.63146,1951.57866,27234.57866,9821.818,1
73,2983686934,65325816,25285,123,142,-122.4201462,37.7465518,-122.3846574,37.7491827,7,145,419,11.89,0,85,25285,280.7620316,25565.76203,821.90508,26106.90508,3454.443,1
74,297838773,65314567,25285,164,65,-122.4541021,37.7107024,-122.4655077,37.782903,18,84,1421,15.28,0,85,25285,751.8757514,26036.87575,1999.68938,27284.68938,10685.642,1
75,65305137,65295061,25286,92,110,-122.4469423,37.7564995,-122.3895844,37.7729294,117,342,1466,7.36,0,86,25286,521.979696,25807.9797,1424.94924,26710.94924,7637.672,1
76,65317544,65317703,25286,21,16,-122.403403,37.7802668,-122.3884059,37.7896449,2,151,755,9.49,0,86,25286,163.3348279,25449.33483,528.33707,25814.33707,1857.484,3
77,65288881,65317715,25288,96,21,-122.4393904,37.7493692,-122.3983653,37.781794,4,122,361,8.05,0,88,25288,506.110741,25794.11074,1385.27685,26673.27685,7103.699,1
78,65359648,65337683,25289,131,131,-122.4447407,37.7350436,-122.4533691,37.7367421,3,161,817,13.06,0,89,25289,153.4020008,25442.402,503.505,25792.505,1457.548,1
79,65323691,65315527,25291,147,83,-122.390164,37.731663,-122.4389224,37.764014,12,112,1008,15.49,0,91,25291,584.5918146,25875.59181,1581.47954,26872.47954,8826.062,1
80,725298140,65292759,25292,43,45,-122.4265778,37.8079433,-122.4318427,37.7956473,21,227,936,14.57,0,92,25292,186.4111499,25478.41115,586.02787,25878.02787,2012.992,1
81,65317193,65352293,25294,51,68,-122.4428642,37.7999809,-122.4548687,37.7757024,9,173,563,8.79,0,94,25294,313.0201712,25607.02017,902.55043,26196.55043,3932.49,1
82,65294615,65391872,25295,114,206,-122.4019697,37.758389,-122.4350466,37.7080336,108,355,1279,15.01,3,95,25295,571.8730092,25866.87301,1549.68252,26844.68252,9431.987,3
83,65347539,65313422,25296,69,97,-122.4529855,37.7757636,-122.431794,37.750628,7,163,1888,4.46,0,96,25296,386.1031631,25682.10316,1085.25791,26381.25791,4574.17,1
84,260193349,259392513,25297,109,54,-122.3881286,37.7817716,-122.5111163,37.7712664,17,551,1815,8.16,0,97,25297,832.3512865,26129.35129,2200.87822,27497.87822,13083.45,3
85,65293407,65296340,25298,52,95,-122.4483833,37.804996,-122.4342612,37.7528897,5,273,1244,9.25,0,98,25298,557.4731033,25855.4731,1513.68276,26811.68276,6377.447,1
86,65336673,257316381,25299,71,109,-122.4459567,37.790128,-122.3887435,37.7795153,4,134,686,11.87,0,99,25299,509.0354158,25808.03542,1392.58854,26691.58854,6220.929,1
87,65290178,4009069593,25299,17,43,-122.3877083,37.7870796,-122.4418874,37.8058561,144,211,560,8.9,0,99,25299,506.0071706,25805.00717,1385.01793,26684.01793,6110.014,1
88,65280632,65294308,25301,164,97,-122.455928,37.708354,-122.4250116,37.7494291,92,267,3331,8.95,0,101,25301,316.4542929,25617.45429,911.13573,26212.13573,6057.977,1
89,65280672,3719575845,25301,145,15,-122.3719647,37.733143,-122.390971,37.7925459,31,159,1283,9.96,0,101,25301,544.0863269,25845.08633,1480.21582,26781.21582,8642.55,1
90,4008988510,1472038597,25301,51,171,-122.4466288,37.8018006,-122.4584736,37.7464239,112,511,2211,8.49,1,101,25301,655.9110375,25956.91104,1759.77759,27060.77759,8731.636,1
91,65312871,65372305,25302,171,111,-122.4559216,37.7434986,-122.383436,37.757772,40,147,1162,22.8,3,102,25302,587.6252433,25889.62524,1589.06311,26891.06311,9945.825,1
92,65319878,65317703,25302,62,16,-122.4752509,37.7824601,-122.3884059,37.7896449,111,479,1665,8.43,0,102,25302,677.8256868,25979.82569,1814.56422,27116.56422,8664.88,1
93,65319878,65290178,25303,62,17,-122.4752509,37.7824601,-122.3877083,37.7870796,10,235,1254,15.49,0,103,25303,687.1539804,25990.15398,1837.88495,27140.88495,8721.183,1
94,65307248,65361413,25305,35,111,-122.4153058,37.7972947,-122.3848046,37.7607234,18,302,990,6.35,0,105,25305,457.5603926,25762.56039,1263.90098,26568.90098,5599.524,1
95,3719529498,3718987342,25306,41,52,-122.4059224,37.8068309,-122.4765197,37.8081054,7,115,758,23.13,2,106,25306,506.2892683,25812.28927,1385.72317,26691.72317,7235.723,1
96,65304999,65294308,25306,93,97,-122.439256,37.759808,-122.4250116,37.7494291,47,540,2377,7.17,0,106,25306,235.7596456,25541.75965,709.39911,26015.39911,2408.719,1
97,65314847,984720636,25307,99,110,-122.4215431,37.7528694,-122.3983363,37.7697271,35,191,494,7.72,0,107,25307,418.0330943,25725.03309,1165.08274,26472.08274,4370.904,1
98,65317190,65295729,25307,50,71,-122.4403277,37.8003033,-122.4526365,37.790892,25,163,978,12.66,0,107,25307,210.0308251,25517.03083,645.07706,25952.07706,2074.582,2
99,258965841,322653582,25310,41,22,-122.4091081,37.8081143,-122.3931794,37.7945305,13,282,887,11.29,0,110,25310,159.7063144,25469.70631,519.26579,25829.26579,2126.066,1
100,3719529498,65287468,25310,41,92,-122.4059224,37.8068309,-122.4521292,37.7512455,2,23,864,18.53,0,110,25310,850.628956,26160.62896,2246.57239,27556.57239,9826.273,2
101,3719529498,65325418,25313,41,70,-122.4059224,37.8068309,-122.4504104,37.786083,10,208,540,8.11,0,113,25313,510.1083053,25823.10831,1395.27076,26708.27076,5995.978,1
102,2371453146,65319467,25313,129,187,-122.432612,37.746604,-122.4931444,37.7319426,10,317,757,13.03,1,113,25313,454.7256883,25767.72569,1256.81422,26569.81422,6414.693,1
103,3170743426,65373364,25315,92,22,-122.4525482,37.7456501,-122.3952892,37.7967963,99,315,955,4.47,0,115,25315,695.1182614,26010.11826,1857.79565,27172.79565,10539.541,1
104,3722724713,434685829,25315,52,41,-122.4661641,37.8022296,-122.4189847,37.8109611,17,220,944,16.59,0,115,25315,445.5563455,25760.55635,1233.89086,26548.89086,5883.203,1
105,65355419,65349622,25315,175,20,-122.4684732,37.7639549,-122.4115952,37.7727899,9,407,1106,6.11,0,115,25315,457.7688458,25772.76885,1264.42211,26579.42211,5989.917,2
106,65342715,65319878,25315,186,62,-122.478003,37.7345248,-122.4752509,37.7824601,8,128,972,14.67,0,115,25315,457.3515182,25772.35152,1263.3788,26578.3788,6498.714,3
107,65317951,65317703,25317,30,16,-122.4146346,37.7855995,-122.3884059,37.7896449,6,148,637,10.99,0,117,25317,264.1301304,25581.13013,780.32533,26097.32533,3209.92,3
108,65333347,65349059,25318,41,97,-122.407305,37.8074586,-122.4314781,37.7474454,5,228,492,12.24,1,118,25318,710.634352,26028.63435,1896.58588,27214.58588,9995.712,1
109,65317186,65290184,25318,43,17,-122.4379081,37.8006108,-122.3887838,37.786927,24,215,1105,11.71,0,118,25318,444.3193492,25762.31935,1230.79837,26548.79837,5910.624,3
110,65316577,65318071,25321,123,97,-122.4203785,37.7409546,-122.4270648,37.7477059,11,88,1390,13.92,0,1,25321,135.0074266,25456.00743,457.51857,25778.51857,1416.896,1
111,258965841,3719575845,25321,41,15,-122.4091081,37.8081143,-122.390971,37.7925459,11,67,919,18.22,0,1,25321,182.3284924,25503.32849,575.82123,25896.82123,2423.186,2
112,65307745,65324118,25323,163,127,-122.4416485,37.7096874,-122.434725,37.7346231,10,659,1090,8.3,0,3,25323,308.2551035,25631.2551,890.63776,26213.63776,4485.416,1
113,65304084,3741990611,25329,96,52,-122.4362274,37.7503578,-122.4576915,37.8037726,14,247,3261,9.28,0,9,25329,659.2990781,25988.29908,1768.2477,27097.2477,7811.195,1
114,65319724,65333972,25330,142,23,-122.3830875,37.7439271,-122.4010676,37.7985844,84,188,1721,6.29,0,10,25330,480.0999303,25810.09993,1320.24983,26650.24983,7695.431,1
115,434685829,260193349,25331,41,109,-122.4189847,37.8109611,-122.3881286,37.7817716,31,157,457,8.36,0,11,25331,397.2899698,25728.28997,1113.22492,26444.22492,4760.767,1
116,3718987342,65325407,25332,52,87,-122.4765197,37.8081054,-122.4526402,37.7731138,10,165,661,5.75,0,12,25332,375.2745775,25707.27458,1058.18644,26390.18644,6096.314,2
117,276549441,65373364,25332,41,22,-122.4036084,37.8054504,-122.3952892,37.7967963,10,112,344,12.76,0,12,25332,130.2714852,25462.27149,445.67871,25777.67871,1735.219,2
118,65312252,65293658,25333,98,94,-122.4298073,37.7531537,-122.4370393,37.7591698,10,354,734,5.33,0,13,25333,134.5283855,25467.52839,456.32096,25789.32096,1297.589,1
119,65336129,65343971,25334,52,35,-122.4471771,37.7975256,-122.4130209,37.7943203,8,197,532,7.55,0,14,25334,347.3619422,25681.36194,988.40486,26322.40486,3937.084,2
120,258910941,54891483,25334,58,110,-122.4868974,37.7800647,-122.3864641,37.7708587,18,181,1732,18.32,0,14,25334,802.7912855,26136.79129,2126.97821,27460.97821,11923.949,2
121,65324424,65284677,25336,113,121,-122.3931329,37.7576527,-122.4045577,37.7469411,6,102,748,16.44,0,16,25336,215.1438329,25551.14383,657.85958,25993.85958,2856.907,1
122,65307205,260193349,25341,184,109,-122.4896417,37.7424416,-122.3881286,37.7817716,153,364,2914,9.99,0,21,25341,875.8394601,26216.83946,2309.59865,27650.59865,14878.255,2
123,434685829,65373364,25342,41,22,-122.4189847,37.8109611,-122.3952892,37.7967963,10,132,1237,16.71,0,22,25342,256.5216797,25598.52168,761.3042,26103.3042,2880.339,1
124,65305706,65373970,25342,152,9,-122.4080508,37.7224972,-122.4146092,37.7812955,30,475,2766,5.11,0,22,25342,523.7277043,25865.7277,1429.31926,26771.31926,7951.876,2
125,65312250,65326441,25343,98,50,-122.429884,37.753957,-122.4450525,37.7973164,9,125,778,12.22,1,23,25343,501.3127543,25844.31275,1373.28189,26716.28189,5710.078,3
126,65348278,258965841,25343,49,41,-122.4363969,37.7931462,-122.4091081,37.8081143,9,153,1108,12.76,0,23,25343,349.7047286,25692.70473,994.26182,26337.26182,3891.884,1
127,65307248,4008988320,25345,35,43,-122.4153058,37.7972947,-122.4374976,37.8015831,7,95,609,11.49,0,25,25345,244.0348913,25589.03489,730.08723,26075.08723,2631.039,3
128,65332853,725298140,25346,36,43,-122.4106607,37.7993094,-122.4265778,37.8079433,6,144,491,7.91,0,26,25346,205.1280823,25551.12808,632.82021,25978.82021,2137.973,1
129,65285808,65319714,25348,19,145,-122.4050958,37.776113,-122.3768574,37.7402023,4,182,886,8.6,0,28,25348,362.4643725,25710.46437,1026.16093,26374.16093,6324.685,1
130,65290178,260193349,25350,17,109,-122.3877083,37.7870796,-122.3881286,37.7817716,3,164,745,11.35,1,30,25350,49.4494041,25399.4494,243.62351,25593.62351,644.418,1
131,65373502,65322249,25351,23,111,-122.401811,37.8040707,-122.3898457,37.7540029,11,151,593,8.99,0,31,25351,451.2791889,25802.27919,1248.19797,26599.19797,7067.387,2
132,434685829,725284753,25351,41,43,-122.4189847,37.8109611,-122.4398794,37.806112,164,634,1124,6.29,0,31,25351,301.3649521,25652.36495,873.41238,26224.41238,3181.613,2
133,65280072,65284291,25351,65,52,-122.4709958,37.7845276,-122.4741623,37.8073076,11,102,233,7.79,0,31,25351,170.9036439,25521.90364,547.25911,25898.25911,3100.602,2
134,65373502,65360221,25351,23,159,-122.401811,37.8040707,-122.4307289,37.7102025,123,349,2335,10.52,0,31,25351,820.6238913,26171.62389,2171.55973,27522.55973,15466.754,2
135,65280672,65328730,25352,145,37,-122.3719647,37.733143,-122.407413,37.7997116,10,190,1433,13.9,0,32,25352,635.8880642,25987.88806,1709.72016,27061.72016,9744.05,1
136,65319043,65333972,25353,49,23,-122.4300072,37.7949074,-122.4010676,37.7985844,10,250,1113,14.59,1,33,25353,201.3740126,25554.37401,623.43503,25976.43503,2577.656,1
137,65307202,65373364,25353,184,22,-122.4899001,37.746171,-122.3952892,37.7967963,10,117,1089,16.74,1,33,25353,1005.547478,26358.54748,2633.86869,27986.86869,14159.713,1
138,65295477,65330498,25353,62,152,-122.4807436,37.7840848,-122.4152301,37.7257577,100,557,2195,3.81,0,33,25353,923.5573546,26276.55735,2428.89339,27781.89339,14510.974,1
139,258965841,1278485155,25355,41,52,-122.4091081,37.8081143,-122.4766178,37.7975297,7,120,804,18.03,0,35,25355,588.3885558,25943.38856,1590.97139,26945.97139,8139.433,1
140,260336123,1472038601,25355,44,93,-122.4250088,37.8032055,-122.4404544,37.7550791,2,176,1037,12.75,0,35,25355,584.7310301,25939.73103,1581.82758,26936.82758,6607.975,1
141,65322004,65344044,25356,142,52,-122.3827438,37.7511589,-122.4713283,37.8083697,6,105,952,15.71,1,36,25356,939.2302848,26295.23028,2468.07571,27824.07571,14252.022,1
142,65326726,65293472,25357,28,112,-122.4112041,37.7936483,-122.3934993,37.7614777,5,140,722,11.25,0,37,25357,368.1502741,25725.15027,1040.37569,26397.37569,4561.51,1
143,65293407,65289825,25357,52,53,-122.4483833,37.804996,-122.5083204,37.7692341,6,85,1056,16.14,0,37,25357,550.3225507,25907.32255,1495.80638,26852.80638,9037.46,2
144,725284754,725298140,25358,43,43,-122.4374775,37.806418,-122.4265778,37.8079433,4,255,850,12.42,1,38,25358,170.4900966,25528.4901,546.22524,25904.22524,1794.65,1
145,54891483,1735964697,25358,110,132,-122.3864641,37.7708587,-122.4585531,37.7307771,106,376,1194,6.62,0,38,25358,542.1355122,25900.13551,1475.33878,26833.33878,10117.497,1
146,65315601,434685829,25359,34,41,-122.4231779,37.7972346,-122.4189847,37.8109611,3,125,483,7.68,0,39,25359,233.0290107,25592.02901,702.57253,26061.57253,2391.075,1
147,65290178,65305027,25362,17,95,-122.3877083,37.7870796,-122.4385681,37.7518327,111,324,1846,8.53,0,42,25362,546.6411896,25908.64119,1486.60297,26848.60297,7598.427,1
148,4045035896,258965841,25362,131,41,-122.4463018,37.7373607,-122.4091081,37.8081143,10,117,866,13.62,1,42,25362,781.0491573,26143.04916,2072.62289,27434.62289,14103.189,1
149,332786709,65348511,25365,52,113,-122.4614655,37.7999021,-122.3953253,37.754833,7,303,986,11.53,0,45,25365,894.9083212,26259.90832,2357.2708,27722.2708,10843.328,1
150,65354898,65289916,25365,54,53,-122.5106851,37.7819076,-122.4620493,37.7717779,7,154,825,9.57,0,45,25365,415.384814,25780.38481,1158.46204,26523.46204,5946.496,1
151,258965841,65287456,25368,41,92,-122.4091081,37.8081143,-122.4511677,37.7473559,6,242,890,5.34,0,48,25368,834.2704878,26202.27049,2205.67622,27573.67622,10300.57,1
